Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
Loot Crate,Consumer Products & Services,Los Angeles,Million,California,667.89,1,116
Paint Nite,Consumer Products & Services,Boston,Million,Massachusetts,365.55,2,55
CalCom Solar,Energy,"Visalia-Porterville, CA",Million,California,316.34,3,34
eLuxurySupply.com,Retail,"Evansville, IN-KY",Million,Indiana,236.2,4,31
Company.com,Business Products & Services,Atlanta,Million,Georgia,234.87,5,33
Globalization Partners,Business Products & Services,Boston,Million,Massachusetts,161.97,6,18
Bounce Exchange,Software,New York City,Million,New York,145.75,7,16
Los York,Advertising & Marketing,Los Angeles,Million,California,144.05,8,16
PANTHERx Specialty Pharmacy,Health,"Pittsburgh, PA",Million,Pennsylvania,133.81,9,42
FedBiz IT Solutions,Government Services,"Washington, DC",Million,Virginia,126.21,10,26
Small Business Owners of America,Financial Services,"Columbus, OH",Million,Ohio,120.6,11,12
PLANIT GROUP,IT Services,Charlotte,Million,North Carolina,115.25,12,12
Suja Juice,Food & Beverage,San Diego,Million,California,105.11,13,66
S2 Capital,Real Estate,Dallas,Million,Texas,96.46,14,29
FormulaFolio Investments,Financial Services,"Grand Rapids-Wyoming, MI",Million,Michigan,94.01,15,11
Persado,Software,New York City,Million,New York,93.9,16,17
Berkley,Manufacturing,Los Angeles,Million,California,92.49,17,11
Exusia,IT Services,New York City,Million,New York,88.03,18,15
Thrive Farmers,Food & Beverage,Atlanta,Million,Georgia,85.77,19,23
Tribeca Marketing Group,Education,Miami,Million,Florida,83.95,20,9
C&H Financial Services,Financial Services,Chicago,Million,Illinois,80.53,21,17
PAYKINGS,Financial Services,Tampa,Million,Florida,79.05,22,8
Highland Project Logistics,Logistics & Transportation,Boston,Million,New Hampshire,79.04,23,8
Furniture Solutions Group,Business Products & Services,Baltimore,Million,Maryland,78,24,9
Midwest Equity Mortgage,Financial Services,Chicago,Million,Illinois,77.54,25,971
Big Block Realty,Real Estate,San Diego,Million,California,76.13,26,19
Cylance,Security,Los Angeles,Million,California,76.13,26,11
Blackstone Labs,Health,Miami,Million,Florida,75.46,27,10
Elements Holdings Group Inc & Subsidiaries,Business Products & Services,Chicago,Million,Illinois,71.17,28,19
Legend Solar,Energy,"St. George, UT",Million,Utah,71.02,29,13
Taldepot.com,Retail,New York City,Million,New York,69.88,30,15
Nine Line Apparel,Retail,"Savannah, GA",Million,Georgia,69.62,31,9
The Penny Hoarder,Media,Tampa,Million,Florida,69.34,32,8
Inspire Medical Systems,Health,Minneapolis,Million,Minnesota,68.89,33,8
The Phoenix Recovery & Counseling Centers,Health,Salt Lake City,Million,Utah,65.45,34,7
n2grate,Government Services,"Washington, DC",Million,Maryland,64.02,35,43
Remarkable Liquids,Food & Beverage,"Albany-Schenectady-Troy, NY",Million,New York,61.87,36,7
Chicken Salad Chick,Food & Beverage,,Million,Alabama,60.43,37,10
HAYSTACKID,IT Services,Boston,Million,Massachusetts,59.62,38,6
Chelsea Financial Group,Insurance,New York City,Million,New Jersey,59.61,39,12
JM Bullion,Financial Services,Dallas,Million,Texas,59.07,40,661
Cirruspath,Software,Los Angeles,Million,California,59.03,41,7
Castle Medical,Health,Atlanta,Million,Georgia,58.82,42,49
Zurixx,Education,Salt Lake City,Million,Utah,56.26,43,130
MacStadium,IT Services,Atlanta,Million,Georgia,53.41,44,6
ReVamp Electronics,Business Products & Services,Chicago,Million,Illinois,53.01,45,14
Atlas MedStaff,Health,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,52.29,46,25
Chosen Foods,Food & Beverage,San Diego,Million,California,51.48,47,32
BigRentz,Construction,Los Angeles,Million,California,50.93,48,30
Interactive Government Holdings,Government Services,"Washington, DC",Million,Virginia,50.58,49,7
Impact CNC,Manufacturing,"Fort Wayne, IN",Million,Indiana,49.3,50,20
Man Crates,Retail,San Francisco,Million,California,49,51,22
PrescribeWellness,Health,Los Angeles,Million,California,48.97,52,10
Elevate Services,Business Products & Services,Los Angeles,Million,California,48.95,53,22
PGM,Construction,"Fresno, CA",Million,California,48.43,54,13
ByteCubed,IT Services,"Washington, DC",Million,Virginia,47.68,55,12
Excel Group,Real Estate,"Washington, DC",Million,Virginia,46.94,56,34
MP Consulting Services,Construction,New York City,Million,New Jersey,46.65,57,5
